#OTUID	KOSMOS.D1.MPBS	KOSMOS.D15.MPAS	KOSMOS.D24.MPAS	KOSMOS.D32.MPAS	KOSMOS.D36.MPAS	KOSMOS.D42.MPAS	KOSMOS.D48.MPAS	KOSMOS.D8.MPAS
D_3__Parvibaculales_D_4__OCS116_clade$a68158c12853cbda01c7e4741fb12026	0	0	0	4	3	12	8	0
D_3__Flavobacteriales_D_4__Cryomorphaceae$c24fc4b7e98ce35e331efe4d303cdae4	0	0	0	0	0	15	12	0
D_3__SAR324_clade(Marine_group_B)$ce260878c4e5cd4da0966685959680df	0	0	0	27	0	0	0	0
D_3__Cellvibrionales_D_4__Porticoccaceae$ee714709807b50fdcade993bda13e537	0	0	0	0	0	27	0	0
D_3__Verrucomicrobiales_D_4__Verrucomicrobiaceae$efda76d62a26e3f7fe3a2af5ea24bccb	0	0	0	0	0	0	3	0
D_3__WCHB1-41_D_4__uncultured_organism$0bb0baf21a91611690b0de455b19ae9d	0	0	0	0	0	14	12	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$0d02d2ff2f8262b2efc0524711094f42	0	0	0	15	0	0	11	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$20392af13eb24548b04a3f074e6549e4	0	26	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$28b6251c22d642d62fbbc9337d473b4a	0	0	0	0	0	10	16	0
D_3__Chitinophagales_D_4__Saprospiraceae$333c30d73c2afd2e3ea96eefb5d219d9	0	0	0	7	0	0	0	0
41a331ca0bdcfec1f968d66e8af77351$Unassigned	5	8	0	0	0	7	6	0
D_3__Arenicellales_D_4__Arenicellaceae$447c9d4d22a87eb1b1f683ad1b651a03	0	4	7	5	0	10	0	0
D_3__Phycisphaerales_D_4__Phycisphaeraceae$4b11a91f623bac7ced67ba422769a769	0	0	0	22	4	0	0	0
D_3__SAR11_clade_D_4__Clade_II$4bca4613ea9942804bb97b3133d8ad9f	0	0	0	0	18	8	0	0
D_3__SAR11_clade_D_4__Clade_IV$61983055dd904401e3a5edc5394eabe9	0	0	0	0	0	26	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$6a0a23bba1ae2c6d87607cf374767d38	0	0	0	0	0	5	0	0
6de5d53c4fbbea08e755620d8c467033$Unassigned	5	4	5	0	0	0	0	9
D_3__Cellvibrionales_D_4__Porticoccaceae$72e8b6261dd670c59bd07351eac74e4e	0	0	0	6	0	0	0	0
D_3__Phycisphaerales_D_4__Phycisphaeraceae$73ecc60acea9d372a45a5ed63074d2b3	0	0	0	13	0	13	0	0
D_3__SAR11_clade_D_4__Clade_I$93a64a8b0c2732d6dfccc28e13177aba	0	0	0	10	0	0	0	0
D_3__Rhizobiales_D_4__Xanthobacteraceae$9596e5aef6203491f1d764f6c522ed44	0	0	0	6	0	0	2	0
D_3__SAR11_clade_D_4__Clade_II$9ece8486d3e2ed11f22c187b3d530a9a	0	0	0	0	0	0	0	14
D_3__Rhodobacterales_D_4__Rhodobacteraceae$b2e6e14e147fcbf24a82e28d07b8e742	0	0	0	0	8	0	0	0
D_3__SAR11_clade_D_4__Clade_II$bb124fcb05db52d0db08c42baa4066d4	0	0	0	4	0	7	0	0
D_3__Bacteroidales_D_4__Marinifilaceae$c12c1aba6be37d179ecdd5ce3586f733	0	11	0	0	0	0	9	0
c487e76284540b33577f8ebdd3c19182$Unassigned	0	0	0	7	0	0	0	4
D_3__Betaproteobacteriales_D_4__Nitrosomonadaceae$e46154ff2e94ed59832cbb8304f4c3da	0	26	0	0	0	0	0	0
e59dd8d7eeb8efe8bb0252d23098b56d$Unassigned	0	0	0	16	0	0	10	0
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$e8afc7d816814604ec0a6c8198dd997a	0	0	0	8	0	0	5	13
D_3__Ignavibacteriales_D_4__Melioribacteraceae$e9c87c2b59fc85a65fa2791323acda18	0	3	0	0	0	0	0	0
1e4f235c67760ce2b77c510d2796fd28$Unassigned	0	0	0	0	0	0	10	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$35183625c9b3c79c0131a6a2c78e972d	0	0	0	0	0	0	5	0
D_3__Desulfuromonadales_D_4__Sva1033$53f65b0a9eed939ec82fa926b8532350	0	0	0	25	0	0	0	0
D_3__PB19$5caaba3e044c22bfac18c377a4afb6e4	6	0	0	0	0	0	0	11
D_3__SAR11_clade_D_4__Clade_II$624c567983516a4b50b91627d379bcc6	0	0	0	15	0	10	0	0
D_3__Rhizobiales_D_4__Rhizobiaceae$75aed520db05302c05084dc696c30770	0	0	25	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$75ea29d332893217371afbe13bdff358	0	0	3	0	0	6	0	0
7facfaeb549378c42591dd230744506f$Unassigned	0	0	0	14	0	0	0	0
D_3__Actinomarinales_D_4__Actinomarinaceae$8ca7fbb08ac4460b9ceaf03fe73479a0	10	0	0	15	0	0	0	0
D_3__NB1-j$9f34897e4aab2b7cdd4e64bfc1617cf6	0	0	0	0	0	0	0	7
D_3__SAR324_clade(Marine_group_B)$ae76c83b9921e581735d29df1ac23ff1	0	0	0	0	0	25	0	0
D_3__Rhizobiales_D_4__Beijerinckiaceae$bbb1ad65c9f1ed8070dc32c754d75fb2	0	0	0	15	0	0	0	0
D_3__PB19$c4668a7b88c2651129c8c01c0bfec2c4	5	5	0	0	0	0	0	5
d1128a777de56bbe40046128965feaf0$Unassigned	0	0	0	12	0	0	0	0
D_3__Arctic97B-4_marine_group$df4fe5842134f00ed56c462fb3e6df52	0	0	0	25	0	0	0	0
D_3__Candidatus_Kaiserbacteria_D_4__uncultured_bacterium$e6dd403aa85a8d8d6f606111d600e987	0	0	4	7	0	0	0	0
D_3__Phycisphaerales_D_4__Phycisphaeraceae$f6a0d34346151375d1a584139736bcda	0	0	0	0	7	13	0	5
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$030bc03d83e8856243e45b130a6a1292	0	0	0	0	19	0	0	5
D_3__Corynebacteriales_D_4__Nocardiaceae$09c9ba7ef4d769756c6cd4bd5a877dae	0	0	0	2	0	0	0	0
D_3__SAR11_clade_D_4__Clade_II$11de5e8a90f78c6268dc2c053763f82c	0	0	0	0	8	0	16	0
13d0a2d597664071262b376106e2c3d9$Unassigned	0	0	0	0	0	0	0	4
D_3__Bacteroidales_D_4__Prolixibacteraceae$1412152ec0a17d0adf4697c6a9959448	0	0	0	0	3	0	13	0
D_3__SAR11_clade_D_4__Clade_II$1860c3fa14135ca3d5c53200b632433a	0	0	0	0	0	0	24	0
D_3__Opitutales_D_4__Puniceicoccaceae$24f2e9b7b3ba8373af443156fd11ea6d	0	0	0	0	0	0	24	0
D_3__Izimaplasmatales_D_4__Izimaplasmataceae$29687b0626ae729a158b35bc7cea5a7a	0	0	0	6	0	0	0	0
5862e4e6ec1406b8a25b966eb969052f$Unassigned	0	0	0	3	0	0	0	0
D_3__Campylobacterales_D_4__Sulfurovaceae$5cac054d92e55125529275bf87251589	0	0	0	10	0	10	4	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$83eac41011900b9eb21fa152295b7220	0	0	0	4	0	0	0	0
D_3__Myxococcales_D_4__Eel-36e1D6$889083d24e1b480b67bab50fc037a737	0	0	0	8	0	0	2	12
D_3__Flavobacteriales_D_4__Flavobacteriaceae$8fa985acf9a90722a8f09dcea124fc78	6	0	0	0	9	0	0	9
D_3__Rhodobacterales_D_4__Rhodobacteraceae$936e211fe58bddfaa8ac7a7c0637ca96	0	0	0	0	3	5	0	0
D_3__Cellvibrionales_D_4__Porticoccaceae$bb5b9c0df357598e97be813de2b2ae14	0	14	10	0	0	0	0	0
D_3__Piscirickettsiales_D_4__Piscirickettsiaceae$c53a83399822b5d42d164b9467631e01	0	0	0	0	0	0	0	4
cb193460072bb4a3e9272ceab50e17eb$Unassigned	0	0	12	0	0	0	0	0
D_3__uncultured_marine_bacterium_D_4__uncultured_marine_bacterium$cdd3ae3a2572e00c6e670c13d307a396	0	0	0	0	0	0	0	19
D_3__SAR11_clade_D_4__Clade_II$d23fe85e20e354e6c4c664db2798bdfb	0	0	0	0	0	0	24	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$e15bddeb6dcdbe9c1253f0b4a4cb893d	0	9	0	0	0	0	0	0
D_3__Alteromonadales_D_4__Alteromonadaceae$e8e5c06c92106ebe1c9683765f863b26	0	0	24	0	0	0	0	0
D_3__Phycisphaerales_D_4__Phycisphaeraceae$eada1f0239f33e4f4d3f6808b426a1d3	0	0	0	0	0	0	0	3
D_3__Oceanospirillales_D_4__Halomonadaceae$f1310a1828c83393cb94aca9411fb530	0	0	0	5	0	0	0	0
D_3__Erysipelotrichales_D_4__Erysipelotrichaceae$f1fd235072e3b9038f7ef89e059c1138	0	12	12	0	0	0	0	0
D_3__SAR11_clade_D_4__Clade_II$fc832037566da2e85d4b8eeca74bc0ae	0	0	0	10	6	0	8	0
D_3__Puniceispirillales_D_4__SAR116_clade$1b374ab7c49dd876022f471684e4bb0e	0	0	0	23	0	0	0	0
1dc5ea648464aa301c2b41deae763e9a$Unassigned	0	0	0	0	0	0	8	0
D_3__Rhizobiales_D_4__Rhizobiaceae$206be3aedc105c3c8304bbb3c1698631	0	0	5	10	0	8	0	0
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$3b88a81dd3d26c33eb20060b120cd64d	11	7	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__NS9_marine_group$48a60f2f592b2e799aa2c6c753adacc6	0	8	0	15	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$58fd529293114a558a03bb32dcafd2e3	0	0	6	0	0	0	0	0
D_3__Bacteroidetes_VC2.1_Bac22_D_4__uncultured_bacterium$771e4b15b8e29d42f4c6f35a032b33a6	0	5	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Crocinitomicaceae$7dc061157eb106e0987535224f336f69	0	0	21	0	0	0	0	0
D_3__Ectothiorhodospirales_D_4__Ectothiorhodospiraceae$8aee2cc3ae5706307dd957d8f05b8c2d	2	0	4	0	0	0	17	0
D_3__Pseudomonadales_D_4__Moraxellaceae$9012feb1f6e368ade3091ccc4f2502a4	0	0	0	10	0	0	0	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$92f4977d1284a39d36e78e824d9016e7	0	0	0	0	0	6	0	0
D_3__Coxiellales_D_4__Coxiellaceae$94dedbc19e75fe0d0d9ad4273f4eb0f7	0	0	0	10	0	0	0	0
97b986491211a6ab4f38bd888b0b2aca$Unassigned	0	0	0	19	4	0	0	0
D_3__Pseudomonadales_D_4__Pseudomonadaceae$a6d3e3261c4450e34e6e6c67cc54b76d	0	4	13	0	0	0	0	0
D_3__Gammaproteobacteria_Incertae_Sedis_D_4__Unknown_Family$afccee30a36d5c3ae02ed5454be3d1b6	0	0	13	4	0	0	0	6
D_3__Thiotrichales_D_4__Thiotrichaceae$c6f99c87e6a32cab9f4c3476261a9cc6	0	0	0	0	0	23	0	0
D_3__uncultured$d166415cb0ee732f9eed3201becfdc12	0	0	0	0	0	0	0	12
D_3__Arctic97B-4_marine_group$d4ea3b85523e9c9aca7703f7b3a80658	0	0	0	0	4	0	0	0
d5c19523744315274e9ce9202a135034$Unassigned	0	0	4	19	0	0	0	0
e890edd4219aa19e21e27be65a16217a$Unassigned	7	2	6	5	0	0	3	0
D_3__Alteromonadales_D_4__Psychromonadaceae$f8a3d3f39c1dab9383c2053f62bf4cb3	0	0	0	0	2	6	15	0
D_3__Cytophagales_D_4__Cyclobacteriaceae$fc66d3aaf7ba0c45014ed94403023c1d	0	0	0	0	0	0	18	0
041b2debf43f473181b04e752b32125f$Unassigned	0	0	0	0	0	0	0	8
D_3__Flavobacteriales_D_4__NS9_marine_group$2789098a733197f3d0e5aab2446640c0	0	0	0	19	3	0	0	0
D_3__Rhizobiales_D_4__Beijerinckiaceae$49e35356f3741704bcb2298077eb0f6a	0	0	0	22	0	0	0	0
D_3__SAR11_clade_D_4__Clade_I$79d5e17ac59d7e6cb4efee79c115e3f9	0	0	0	5	0	6	11	0
8684bcce72a76d98fe1a5c86dc9ec038$Unassigned	0	0	0	5	0	5	0	9
D_3__Opitutales_D_4__Puniceicoccaceae$9127f64a030dbb0d0bb939d060f740df	0	0	0	0	0	0	12	0
D_3__Opitutales_D_4__Puniceicoccaceae$9d13c621db48ecd3c263870219a3cf3c	0	0	0	0	0	0	0	6
D_3__Flavobacteriales_D_4__NS9_marine_group$a49cc8cee39a1ff327505f654b8f1c30	0	0	0	0	0	0	22	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$a7fb0e169e9807a932f1aaafb723e89e	0	0	0	0	0	9	0	0
D_3__uncultured_marine_bacterium_D_4__uncultured_marine_bacterium$ae4cc3d283386f795a5a3c7e7679cfb7	0	0	0	22	0	0	0	0
aed6f1c424edc4b6f0eb86d84d5649c4$Unassigned	4	0	0	0	0	0	0	0
D_3__Corynebacteriales_D_4__Mycobacteriaceae$b8c6be08aaec5c6da4403b7980604cb8	0	0	0	0	0	5	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$d8bc1a06f14caade83a293ecbdbd5974	0	0	0	0	0	15	0	0
D_3__Milano-WF1B-44$efb3e3a6e7699b057d7cb280797e99dd	0	12	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__NS9_marine_group$0afb1f281f5a211c2d9e302f3b95c078	0	0	0	0	0	0	21	0
D_3__Arctic97B-4_marine_group$3704b4c13b302cea77fcc0227a02206b	0	0	0	21	0	0	0	0
484a52b401e36922bac9b111c14b425d$Unassigned	0	0	21	0	0	0	0	0
D_3__Nitrospinales_D_4__Nitrospinaceae$48591f76a65d56ed86d02ed3ec40acb0	0	0	0	0	0	13	0	0
D_3__Cellvibrionales_D_4__Porticoccaceae$526a2578ffa53f3aa59a5f656bfc8080	0	0	0	0	8	0	0	3
D_3__Clostridiales_D_4__Ruminococcaceae$53b1608f6cbf7e5a28b95a2a61f20b22	0	0	0	3	0	9	0	0
D_3__SAR11_clade_D_4__Clade_II$57c3560e0f050e06e55b3e2586179eca	0	0	0	0	0	0	14	0
D_3__Campylobacterales_D_4__Thiovulaceae$58c54da05d0e2807ee91e4809f50d604	0	0	0	0	10	0	11	0
D_3__metagenome_D_4__metagenome$65445e1f146bdc92dd77348613ac98a8	0	0	0	7	0	12	0	0
79158266b0b5aeb95b73ac43ce323f34$Unassigned	0	0	21	0	0	0	0	0
D_3__PB19_D_4__uncultured_delta_proteobacterium$7a2e594fd575f4457995099c8c1db349	0	21	0	0	0	0	0	0
8efd7405b3211c9044302042689b14b2$Unassigned	0	0	0	0	0	0	0	6
a92018d2110adc5c00954a02222c17dd$Unassigned	8	0	0	0	0	0	0	0
D_3__Rhizobiales_D_4__Beijerinckiaceae$b3e4c86e0a2d50fb2ab8b972d650ca43	0	0	0	21	0	0	0	0
D_3__Alteromonadales_D_4__Alteromonadaceae$b63c4e59bec5c5766059a6d286d6211b	0	0	21	0	0	0	0	0
b99cb6e9b3196beb8414217f2ce5b856$Unassigned	0	0	0	0	0	3	0	3
D_3__SAR11_clade_D_4__Clade_I$c9748a5578efb1c4a52e408fd30ca4a5	0	0	0	21	0	0	0	0
D_3__Campylobacterales_D_4__Thiovulaceae$cb3892a5f80735389b133bdd8ea09b7b	0	0	4	0	6	11	0	0
cf228934d43eb7f4872f62b74bcc3a2e$Unassigned	0	0	0	7	0	3	0	0
e1788571baae0ce6ef712a75062f918c$Unassigned	4	7	0	0	0	0	0	0
e55ad9d173edf4f6dcdbd534050fb622$Unassigned	6	7	0	0	0	0	8	0
f133e07a5d61d8df637d55fa1f716fef$Unassigned	6	0	0	0	0	0	0	10
D_3__Opitutales_D_4__Puniceicoccaceae$f592e077938297b80c84d8acdf8c5782	0	0	21	0	0	0	0	0
03000fdf4f44b9f47d010dcb98057701$Unassigned	0	0	5	11	0	4	0	0
D_3__Oligoflexales_D_4__Oligoflexaceae$0601688b5a04bb464f93bad6eff343d7	0	10	0	0	0	0	0	4
D_3__Sphingomonadales_D_4__Sphingomonadaceae$06d703d00fa7d7c7d04aa0404a7bfa1a	3	0	0	0	0	0	0	0
D_3__PB19_D_4__uncultured_bacterium$0966ba3a7405790ab746093c19595313	0	0	20	0	0	0	0	0
D_3__Thiomicrospirales_D_4__Thiomicrospiraceae$136c403c7535496b5766d82c4770596d	0	0	0	7	0	0	0	0
D_3__Rickettsiales_D_4__S25-593$14c1347297398df0b4383004b1168977	0	0	0	20	0	0	0	0
D_3__SAR324_clade(Marine_group_B)_Ambiguous_taxa$189b769d9937c206f4ceb0a7f97d7201	0	0	0	20	0	0	0	0
D_3__Cellvibrionales_D_4__Halieaceae$2c52d82cfa9bb1eccdb20884ff31c75b	0	0	0	0	0	0	20	0
D_3__Opitutales_D_4__Puniceicoccaceae$2d626329e92f3825eda67655c5d3906f	8	0	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Cryomorphaceae$2f75c6d6d33acce268c71f579fdd22bc	0	0	0	0	0	0	20	0
D_3__Chitinophagales_D_4__Saprospiraceae$33323a12f8e069474c347187ce62a943	0	5	5	0	0	4	0	0
D_3__Cellvibrionales$357269ea21790555dda5aea4b56cb320	0	0	0	0	0	7	0	0
D_3__Flavobacteriales_D_4__Cryomorphaceae$3aa40bea8c0edbcc80cc9583f30a0c25	0	0	0	0	0	0	0	20
3de0fe9c5c32106ce6ca14f3e4dd95b2$Unassigned	0	0	0	4	0	0	5	0
D_3__Phycisphaerales_D_4__Phycisphaeraceae$4937b18b68397c9d1a3ecd8e9fde6578	0	0	0	0	0	4	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$4fc7675992d52b4778a721bf7c189918	0	11	0	0	0	0	0	0
D_3__SAR11_clade_D_4__Clade_II$55d468740abcb2bab59b0a6de1f04790	0	0	0	0	0	10	0	0
D_3__Rickettsiales_D_4__Midichloriaceae$5af18637c4c3d876c6e3bcc8e0e403d3	0	0	0	0	0	0	20	0
D_3__SAR11_clade_D_4__Clade_I$64e53a3a117cacf264f122df270ac932	0	0	0	0	0	6	6	0
D_3__Vibrionales_D_4__Vibrionaceae$689fcd28b56b21678c49992b9ee19d22	0	0	0	0	0	20	0	0
D_3__Rhizobiales_D_4__Xanthobacteraceae$70027d92973aba9ee84b5a02ae75a85c	0	0	0	20	0	0	0	0
D_3__Sneathiellales_D_4__Sneathiellaceae$8c6e07c37213ecc6d6589308883cd36e	0	0	0	0	0	7	0	0
D_3__Betaproteobacteriales_D_4__Gallionellaceae$8fb5f49d64513fab3d980f2661cbe7f8	0	0	0	0	0	5	11	0
904764b96545876c3ffbdcd46f05dc26$Unassigned	0	0	0	0	0	0	0	3
D_3__Alteromonadales_D_4__Pseudoalteromonadaceae$97c1eb9a93141714db9e62d6afa90980	0	0	0	20	0	0	0	0
9b00462fab91713fc21b459ea40030ba$Unassigned	0	0	10	6	0	4	0	0
D_3__Rhodospirillales_D_4__Magnetospiraceae$a0099cc66c815cd94236d1ee0f08e717	0	5	0	15	0	0	0	0
D_3__uncultured$a0ad5eede45f32ca2e9d4cb00c1e1752	0	0	0	0	6	12	0	0
D_3__Actinomarinales_D_4__uncultured$a41785ca0dd3d65ce51740d07c0509bc	0	0	0	0	0	4	9	0
D_3__Rickettsiales_D_4__Rickettsiaceae$b202cf5f20bb40ed2b320a560c83e416	0	0	0	0	0	15	5	0
D_3__SAR11_clade_D_4__Clade_II$b2a43634bc86429059c00f829542a530	0	0	0	0	0	20	0	0
D_3__Cellvibrionales_D_4__Halieaceae$b7b6ea340cdf072c2043f77c0323f680	0	0	0	0	0	0	12	0
D_3__Alteromonadales_D_4__Alteromonadaceae$c0234d6e863241b8c202eeaaaf29fb04	0	0	20	0	0	0	0	0
D_3__Rhodospirillales_D_4__Magnetospiraceae$cad4728c86c247a8d9ea44c57bad9ba6	0	0	0	0	0	9	0	0
D_3__Coxiellales_D_4__Coxiellaceae$dce08e9afe951c54834e1134c8d4b646	6	0	0	0	0	0	0	5
D_3__Flavobacteriales_D_4__Flavobacteriaceae$e0e4a782bbf69a25036f90c0e81b4351	0	0	0	0	4	0	0	0
ec84f9038cb14485554fe5b501edc914$Unassigned	0	0	17	0	3	0	0	0
f9f665588897490a17f0a747047e67fd$Unassigned	0	0	0	0	0	0	0	3
05fcf35a4d84e96e451596550fcae60d$Unassigned	0	6	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$0c9273434485b7fda6b0ec1c2ea063db	0	0	6	0	0	0	0	0
D_3__Oceanospirillales_D_4__Pseudohongiellaceae$15ebf9b08ad475d27b8330a2fd90882e	0	0	0	0	0	19	0	0
D_3__Cytophagales_D_4__Cyclobacteriaceae$27787d20519d6bfe23e20d4372ff0dd3	0	0	0	0	0	9	3	0
3e69aae8924aa3943dee05314ecb9b6d$Unassigned	0	0	0	0	0	5	10	0
4864835605a24a19e168b59125d33949$Unassigned	0	13	0	6	0	0	0	0
54c8a9ed045145e776f4fd1b6693f6ff$Unassigned	0	0	0	0	0	0	0	15
D_3__SAR11_clade_D_4__Clade_I$557552ec10b7ddb0944d0aec32b8c052	0	0	0	19	0	0	0	0
5a43854e9f57e8224b496b6c3f01a3e5$Unassigned	0	0	0	0	0	0	19	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$68d176a4efb8d985f21118f849dfd99e	0	0	0	19	0	0	0	0
D_3__Cytophagales_D_4__Cyclobacteriaceae$7668c16fdd2e707b15041976ffcafda8	0	0	0	13	0	3	0	0
780b9e105efa39bc1176086d135d9de3$Unassigned	0	0	0	10	0	3	6	0
$82f43cb18ed7c0e0dbe0ad551258caee	0	0	0	0	0	0	0	5
85b3200e58dc781e2ebcb3b5732a6d35$Unassigned	0	0	0	8	0	3	8	0
D_3__Myxococcales_D_4__Nannocystaceae$aeff462e68a7450641890484f103e1d1	0	0	0	0	0	0	0	3
D_3__Flavobacteriales_D_4__Cryomorphaceae$b2b4ba4c39410ce67fbccaaede562a8d	11	0	0	0	0	0	0	0
D_3__SAR11_clade_D_4__Clade_II$b3218a39c7191221a0277e50348df90e	0	0	19	0	0	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$b82e465e7050d7d7a56c5c15e66074ba	0	0	0	0	0	19	0	0
D_3__Oceanospirillales_D_4__Halomonadaceae$ba251cdd32a076f17e0c1b57f5a3fcdb	0	0	19	0	0	0	0	0
c2244b7bc8d3e49f53a4c5a12c557d71$Unassigned	0	8	0	8	0	0	0	3
c2b7ec3728ecd176752e7724161a8d7e$Unassigned	0	0	0	0	0	0	9	0
D_3__Campylobacterales_D_4__Arcobacteraceae$ce329735833cb274b215d02553153625	0	19	0	0	0	0	0	0
D_3__Nitrospinales_D_4__Nitrospinaceae$ce3520539ba2aa7bf15e8e462fb42d87	0	0	0	0	0	0	0	19
d72d36b8b32675d325117991e82b6fb4$Unassigned	0	0	0	8	0	0	11	0
D_3__SAR11_clade_D_4__Clade_II$d78c1484c7440034e04a728ca453c336	0	0	0	19	0	0	0	0
D_3__Corynebacteriales_D_4__Nocardiaceae$e99096c2f485288f00285279d64425b1	0	0	0	19	0	0	0	0
D_3__SAR324_clade(Marine_group_B)$0de86bdeafad79aaa5d18b2c0e7edd14	0	0	0	18	0	0	0	0
D_3__Rickettsiales_D_4__Rickettsiaceae$0f987ee10aa8b5c848ef484e33f73920	0	0	0	18	0	0	0	0
D_3__uncultured$20765cf7bdaf9236aba564420603be8d	0	7	11	0	0	0	0	0
349a7104929deca7ee1b7728855948a2$Unassigned	0	0	0	18	0	0	0	0
37b3a67c8e6b13bd713426b2abb3b0f2$Unassigned	0	0	0	0	0	5	7	0
D_3__Arctic97B-4_marine_group$3b053ec8f7598485915d04a9cb0b1c04	0	0	0	18	0	0	0	0
40c1f3c37a17197e85e487c84ad2e717$Unassigned	0	0	0	0	0	18	0	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$51f5f6ca82c8e424d0c9905da0d48b06	0	0	0	0	0	0	18	0
D_3__Nitrospinales_D_4__Nitrospinaceae$61d773ccdfa5a62078d7eb85ddd8007b	0	0	0	12	0	6	0	0
D_3__Cellvibrionales_D_4__Halieaceae$6649957768b1782f91807293245b0c8c	0	0	0	0	0	18	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$66c49e0566cc6d131456de7887c4f7ee	0	0	0	8	0	10	0	0
D_3__Alteromonadales_D_4__Alteromonadaceae$6e36dfea8a3dd17f8d2b5791243d6116	0	0	0	18	0	0	0	0
75a01b00436cfa6c05952000c173b2c0$Unassigned	0	0	13	0	0	0	0	5
775d4b594ef4fa6738666aed333f23d4$Unassigned	0	4	0	0	0	0	0	0
D_3__Rickettsiales_D_4__S25-593$7c78a50f231dce6adb91d8acdea3f830	0	0	0	0	0	0	0	12
D_3__Izimaplasmatales_D_4__Izimaplasmataceae$7d630e49c8056e9a7264fcb774a41947	0	0	0	0	0	0	0	7
D_3__Flavobacteriales_D_4__Flavobacteriaceae$8313cd292cce7ade4d1e53a89d97016c	0	0	0	0	0	6	0	0
92e39c9289eade1240b3b89d8468da6e$Unassigned	0	0	0	0	0	0	11	0
D_3__EC3_D_4__uncultured_gamma_proteobacterium$966eacf7cea458803dd34aa014594c90	0	5	0	0	3	0	0	10
D_3__Phycisphaerales_D_4__Phycisphaeraceae$9c3b049136c4cfe48c9b9665da1298db	0	0	0	0	0	9	9	0
D_3__SAR11_clade_D_4__Clade_I$a0b81597dea8dd0d299d8d882ee853fe	0	18	0	0	0	0	0	0
D_3__Francisellales_D_4__Francisellaceae$b3b8b2e23ea6fd04920bac042ffc46ee	0	0	0	0	0	0	18	0
D_3__Leptospirales_D_4__Leptospiraceae$b6ec4ee311970d98eed369da7066ff19	0	0	18	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$b8991eb6f5db025e6be62a4946f8af9b	0	0	5	2	0	0	0	0
D_3__Oceanospirillales_D_4__Halomonadaceae$c1a1f9e975637de7794fd4df09ffebc0	0	0	18	0	0	0	0	0
D_3__OM182_clade$cedd870a56653078c29d42733e8917e3	0	0	0	0	0	4	9	0
D_3__Bradymonadales_D_4__uncultured_marine_bacterium$d6ec8fafacaf46b103c09135ea5ef0fd	0	0	0	0	0	7	11	0
D_3__Chitinophagales_D_4__Saprospiraceae$d9a5be0d6bd827388783e39bb0e8c64c	0	0	0	0	0	0	0	7
D_3__Rickettsiales_D_4__Midichloriaceae$e1a95362b442e9e0affab42ef42d9848	0	0	0	18	0	0	0	0
D_3__Oceanospirillales_D_4__Halomonadaceae$eaf16fd5e8c48cf100fd2472015e631c	0	0	0	0	0	10	0	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$00ec8ea63cd93e63901794b62ebd31ac	0	0	0	10	0	7	0	0
D_3__SAR11_clade_D_4__Clade_I$0200246aa7e1595be9599233bb002c1b	0	0	0	0	0	17	0	0
D_3__Paracaedibacterales_D_4__Paracaedibacteraceae$094caaedf22eec3520fce896fc9e47c3	0	9	5	0	0	0	3	0
0b3cc9cedc857424bb77565edb2a0717$Unassigned	0	0	0	0	6	0	0	5
$119418d20f4a0cbe10f00857d0521b2c	0	0	0	0	5	3	9	0
D_3__Actinomarinales_D_4__Actinomarinaceae$1380dcd50c997b0af193d759dee196a3	17	0	0	0	0	0	0	0
31a7789a710651263adcc550d0f8d58b$Unassigned	5	0	6	0	0	0	0	6
D_3__Chitinophagales_D_4__uncultured$3decae3177049e64145b96576444d5d9	0	0	17	0	0	0	0	0
D_3__Fusobacteriales_D_4__Fusobacteriaceae$48bf98845d2ce4c5d16dfc22815e4ffe	0	17	0	0	0	0	0	0
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$4c1099638c53dc20aa05861fb90fe236	0	0	0	0	0	0	0	17
